date,weekday,high_f,low_f,precip_in,cloud_pct,sunrise,sunset,conditions
2015-01-01,Thu,47,27,0.0,25,7:22 AM,5:05 PM,Overcast
2015-01-02,Fri,52,39,0.0,98,7:22 AM,5:06 PM,Overcast
2015-01-03,Sat,54,42,0.19,100,7:22 AM,5:07 PM,Light rain
2015-01-04,Sun,69,56,0.15,98,7:22 AM,5:08 PM,Light rain
2015-01-05,Mon,53,36,0.0,23,7:22 AM,5:09 PM,Partly cloudy
2015-01-06,Tue,50,31,0.0,63,7:22 AM,5:09 PM,Overcast
2015-01-07,Wed,37,22,0.0,67,7:22 AM,5:10 PM,Overcast
2015-01-08,Thu,26,18,0.0,21,7:22 AM,5:11 PM,Overcast
2015-01-09,Fri,42,23,0.0,21,7:22 AM,5:12 PM,Overcast
2015-01-10,Sat,36,26,0.0,0,7:22 AM,5:13 PM,Clear
2015-01-11,Sun,44,22,0.0,50,7:22 AM,5:14 PM,Overcast
2015-01-12,Mon,52,36,1.16,100,7:22 AM,5:15 PM,Rain
2015-01-13,Tue,45,32,0.04,100,7:22 AM,5:16 PM,Light drizzle
2015-01-14,Wed,32,28,0.26,100,7:21 AM,5:17 PM,Light rain
2015-01-15,Thu,43,28,0.0,75,7:21 AM,5:18 PM,Overcast
2015-01-16,Fri,50,32,0.0,15,7:21 AM,5:19 PM,Overcast
2015-01-17,Sat,46,28,0.0,11,7:20 AM,5:20 PM,Overcast
2015-01-18,Sun,55,38,0.7,58,7:20 AM,5:21 PM,Rain
2015-01-19,Mon,55,37,0.0,2,7:20 AM,5:22 PM,Clear
2015-01-20,Tue,61,36,0.0,67,7:19 AM,5:23 PM,Overcast
2015-01-21,Wed,50,36,0.04,67,7:19 AM,5:24 PM,Light drizzle
2015-01-22,Thu,53,29,0.0,43,7:18 AM,5:25 PM,Overcast
2015-01-23,Fri,41,32,0.37,94,7:18 AM,5:26 PM,Light rain
2015-01-24,Sat,47,36,0.37,70,7:17 AM,5:27 PM,Light rain
2015-01-25,Sun,52,33,0.0,24,7:17 AM,5:28 PM,Overcast
2015-01-26,Mon,52,36,0.12,80,7:16 AM,5:29 PM,Drizzle
2015-01-27,Tue,40,32,0.0,83,7:15 AM,5:30 PM,Overcast
2015-01-28,Wed,41,28,0.0,2,7:15 AM,5:31 PM,Mostly clear
2015-01-29,Thu,43,25,0.0,57,7:14 AM,5:33 PM,Overcast
